maskIdx,reward
16,59.304000
16,68.432000
16,65.632000
16,63.826000
16,65.982000
16,65.842000
16,66.374000
16,64.918000
16,60.494000
16,58.380000
16,55.398000
16,62.552000
16,57.050000
16,53.732000
16,53.130000
16,51.996000
16,48.062000
16,44.828000
16,52.976000
16,59.850000
16,62.930000
16,65.688000
16,66.752000
16,58.954000
16,65.156000
16,63.714000
16,58.548000
16,65.800000
16,69.482000
16,71.008000
16,63.434000
16,62.314000
16,55.608000
16,58.716000
16,58.618000
16,55.076000
16,53.592000
16,43.274000
16,52.626000
16,58.408000
16,49.630000
16,50.666000
16,61.026000
16,64.400000
16,68.684000
16,69.482000
16,69.006000
16,67.228000
16,63.896000
16,64.694000
16,70.658000
16,68.824000
16,68.894000
16,63.112000
16,46.172000
16,36.708000
16,45.976000
16,43.526000
16,47.838000
16,58.366000
16,61.082000
16,51.464000
16,56.126000
16,64.232000
16,65.282000
16,65.058000
16,63.798000
16,65.282000
16,67.620000
16,64.694000
16,67.116000
16,66.766000
16,61.586000
16,57.064000
16,58.296000
16,51.996000
16,41.790000
16,53.690000
16,53.802000
16,48.454000
16,56.252000
16,55.762000
16,55.594000
16,71.344000
16,65.674000
16,66.430000
16,66.304000
16,60.788000
16,57.582000
16,63.742000
16,61.950000
16,67.368000
16,67.088000
16,61.040000
16,59.472000
16,51.982000
16,45.374000
16,46.340000
16,56.210000
16,59.892000
16,62.174000
16,67.466000
16,72.240000
16,69.930000
16,62.930000
16,64.484000
16,62.286000
16,63.854000
16,63.182000
16,62.300000
16,59.402000
16,59.248000
16,56.672000
16,55.174000
16,45.808000
16,50.176000
16,53.312000
16,41.818000
16,50.022000
16,50.470000
16,56.896000
16,60.046000
16,60.872000
16,62.622000
16,66.864000
16,63.798000
16,63.784000
16,64.330000
16,65.828000
16,67.816000
16,67.354000
16,63.630000
16,59.122000
16,52.570000
16,52.402000
16,51.044000
16,47.824000
16,40.390000
16,52.640000
16,56.224000
16,59.976000
16,55.734000
16,57.582000
16,52.766000
16,58.870000
16,59.500000
16,65.688000
16,68.292000
16,67.648000
16,65.030000
16,64.092000
16,65.716000
16,61.936000
16,53.494000
16,54.740000
16,51.408000
16,39.172000
16,53.984000
16,49.168000
16,54.278000
16,64.806000
16,65.926000
16,70.294000
16,72.800000
16,67.522000
16,65.492000
16,60.676000
16,66.850000
16,65.996000
16,64.540000
16,65.072000
16,62.300000
16,62.062000
16,60.578000
16,58.968000
16,58.576000
16,55.384000
16,42.028000
16,48.720000
16,56.252000
16,60.494000
16,61.936000
16,56.602000
16,61.376000
16,65.772000
16,61.278000
16,56.630000
16,63.966000
16,67.424000
16,63.616000
16,65.268000
16,64.582000
16,59.038000
16,47.628000
16,52.010000
16,46.298000
16,43.106000
16,53.592000
16,52.682000
16,61.446000
16,62.496000
16,63.000000
16,66.276000
16,64.596000
16,69.342000
16,72.730000
16,73.710000
16,72.128000
16,71.190000
16,69.076000
16,68.754000
16,61.572000
16,66.528000
16,61.782000
16,58.968000
16,52.542000
16,47.628000
