maskIdx,reward
16,48.146000
16,42.714000
16,55.188000
16,60.004000
16,64.428000
16,66.066000
16,64.372000
16,68.992000
16,65.940000
16,62.636000
16,62.636000
16,58.968000
16,60.620000
16,63.196000
16,66.234000
16,60.970000
16,56.980000
16,40.740000
16,40.180000
16,45.458000
16,50.974000
16,56.784000
16,58.478000
16,64.106000
16,67.858000
16,70.728000
16,73.906000
16,68.096000
16,70.686000
16,63.406000
16,67.242000
16,64.974000
16,63.336000
16,63.112000
16,61.544000
16,60.284000
16,53.900000
16,55.328000
16,53.578000
16,48.412000
16,51.114000
16,54.474000
16,56.980000
16,51.408000
16,51.254000
16,52.962000
16,55.090000
16,59.752000
16,65.114000
16,66.108000
16,65.576000
16,63.322000
16,56.952000
16,62.874000
